SCAN_NAME,ws62,stdev62,wd60
201101010000,3.65,0.18,255.43
201101010010,3.79,0.15,260.83
201101010020,3.74,0.17,260.23
201101010030,3.25,0.21,269.83
201101010040,3.03,0.25,271.83
201101010050,3.7,0.29,258.03
201101010100,3.76,0.41,255.43
201101010110,3.73,0.4,253.63
201101010120,3.61,0.3,254.33
201101010130,3.19,0.45,257.83
201101010140,3.49,0.32,261.43
201101010150,3,0.44,250.53
201101010200,2.46,0.44,260.43
201101010210,2.46,0.31,269.93
201101010220,2.38,0.33,273.23
201101010230,2.32,0.44,274.53
201101010240,1.36,0.5,286.33
201101010250,2.15,0.42,256.43
201101010300,2.76,0.46,233.63
201101010310,2.18,0.41,260.43
201101010320,2.79,0.56,243.63
201101010330,3.41,0.49,247.63
201101010340,2.78,0.39,225.83
201101010350,3.11,0.35,221.73
201101010400,3.08,0.46,236.13
201101010410,1.97,0.33,270.23
201101010420,2.06,0.3,273.53
201101010430,1.66,0.82,247.83
201101010440,2.08,0.57,235.03
201101010450,1.51,0.52,242.33
201101010500,1.36,0.25,247.03
201101010510,1.62,0.29,271.83
201101010520,1.25,0.44,242.53
201101010530,1.29,0.35,200.73
201101010540,1.72,0.22,183.73
201101010550,1.68,0.25,210.43
201101010600,1.38,0.23,192.03
201101010610,0.9,0.35,229.23
201101010620,0.99,0.36,166.23
201101010630,0.99,0.27,88.03
201101010640,1.31,0.34,345.98
201101010650,1.84,0.43,4.94
201101010700,2.33,0.29,12.16
201101010710,1.82,0.35,6.51
201101010720,1.82,0.53,333.53
201101010730,1.42,0.32,310.73
201101010740,1.98,0.37,288.03
201101010750,1.35,0.47,291.43
201101010800,0.84,0.31,255.33
201101010810,1.22,0.34,256.93
201101010820,1.65,0.44,300.63
201101010830,1.39,0.42,302.53
201101010840,1.88,0.74,351.91
201101010850,2.84,0.52,339.03
201101010900,1.56,0.51,304.23
201101010910,2.13,0.51,322.23
201101010920,2.11,0.46,340.94
201101010930,2.47,0.55,334.93
201101010940,2.08,0.81,332.63
201101010950,2.29,0.67,291.03
201101011000,1.9,0.74,310.83
201101011010,1.53,0.68,275.83
201101011020,3.22,0.66,249.63
201101011030,2.49,0.68,287.53
201101011040,3.14,0.54,270.73
201101011050,3.58,0.79,267.73
201101011100,3.58,0.83,257.03
201101011110,3.59,0.7,234.83
201101011120,4.81,1.16,241.43
201101011130,5.97,1,225.93
201101011140,5.72,0.74,238.13
201101011150,6.15,0.94,222.43
201101011200,5.67,0.78,227.03
201101011210,5.42,0.83,224.53
201101011220,4.98,0.92,230.63
201101011230,5,0.97,235.63
201101011240,5.49,0.92,234.93
201101011250,6.32,0.99,238.33
201101011300,6.22,0.91,238.33
201101011310,6.06,1.08,226.73
201101011320,6.09,1.02,237.33
201101011330,7.07,0.8,238.53
201101011340,6.79,0.75,236.13
201101011350,7.17,0.88,233.93
201101011400,7.19,1.16,233.93
201101011410,7.34,0.98,235.63
201101011420,7.13,1.08,229.23
201101011430,7.45,0.81,229.63
201101011440,7.75,0.83,231.83
201101011450,7.44,0.9,229.23
201101011500,8.77,1.05,219.53
201101011510,8.58,0.92,221.83
201101011520,8.57,0.79,223.73
201101011530,8.45,0.8,224.23
201101011540,8.89,0.67,224.13
201101011550,8.2,0.59,222.53
201101011600,7.94,0.81,224.33
201101011610,6.97,0.95,229.83
201101011620,7.44,0.72,225.33
201101011630,7.23,0.88,226.23
201101011640,7.59,0.94,228.73
201101011650,7.23,0.95,230.53
201101011700,7.08,0.77,227.33
201101011710,7.49,0.78,231.83
201101011720,7.24,0.92,226.93
201101011730,6.72,0.9,229.23
201101011740,6.79,0.84,228.73
201101011750,5.82,0.93,220.23
201101011800,5.81,0.85,227.03
201101011810,5.42,0.85,230.03
201101011820,5.64,0.75,234.73
201101011830,5.92,0.57,228.53
201101011840,6.01,0.53,224.83
201101011850,6.45,0.49,220.23
201101011900,6.09,0.61,223.93
201101011910,5.84,0.44,213.33
201101011920,5.74,0.75,215.13
201101011930,5.49,0.57,216.53
201101011940,5.07,0.45,218.63
201101011950,5.08,0.43,224.43
201101012000,5.01,0.52,221.43
201101012010,4.72,0.45,230.63
201101012020,4.71,0.41,238.53
201101012030,4.95,0.38,238.23
201101012040,5.09,0.47,240.73
201101012050,4.92,0.95,238.83
201101012100,3.51,0.5,239.33
201101012110,3.66,0.42,242.73
201101012120,3.01,0.38,251.33
201101012130,2.41,0.29,251.23
201101012140,2.28,0.35,248.83
201101012150,2.07,0.29,245.83
201101012200,1.52,0.2,262.43
201101012210,1.4,0.18,262.13
201101012220,1.25,0.17,262.13
201101012230,0.83,0.24,262.13
201101012240,0.75,0.22,262.13
201101012250,1.02,0.2,262.13
201101012300,1.53,0.2,262.03
201101012310,2.04,0.3,255.83
201101012320,2.65,0.19,255.33
201101012330,2.42,0.24,263.03
201101012340,2.75,0.26,256.23
201101012350,1.49,0.35,252.83
201101020000,1.28,0.18,252.83
201101020010,0.81,0.27,252.83
201101020020,0.55,0.29,252.93
201101020030,0.62,0.21,252.93
201101020040,0.46,0.15,252.93
201101020050,0.44,0.15,252.93
201101020100,0.65,0.17,252.93
201101020110,0.81,0.29,258.73
201101020120,1.26,0.28,48.75
201101020130,1.66,0.22,43.09
201101020140,1.39,0.19,27
201101020150,1.77,0.33,27.77
201101020200,2.37,0.33,35.53
201101020210,3.49,0.42,41.87
201101020220,3.11,0.38,31.59
201101020230,2.71,0.37,24.23
201101020240,2.89,0.37,24.59
201101020250,3.01,0.22,23.35
201101020300,3.07,0.16,30.68
201101020310,3.38,0.3,37.23
201101020320,3.71,0.14,40.73
201101020330,3.62,0.14,41.22
201101020340,3.32,0.12,35.14
201101020350,3.54,0.16,32.01
201101020400,3.74,0.28,33.1
201101020410,3.92,0.27,29.01
201101020420,4.08,0.31,32.96
201101020430,4.17,0.25,32.59
201101020440,4.69,0.2,29.97
201101020450,4.78,0.37,46.71
201101020500,4.86,0.24,37.22
201101020510,5.47,0.17,31.98
201101020520,5.12,0.41,28.91
201101020530,5.11,0.17,29.98
201101020540,5.15,0.19,34.07
201101020550,4.45,0.25,36.06
201101020600,4.33,0.16,41.61
201101020610,4.53,0.18,42.95
201101020620,5.01,0.2,45.8
201101020630,5.05,0.24,49.99
201101020640,4.34,0.3,55.31
201101020650,4.72,0.23,53.42
201101020700,4.61,0.35,48.68
201101020710,4.58,0.5,48.08
201101020720,5.33,0.19,47.51
201101020730,5.16,0.49,51.44
201101020740,4.93,0.38,51.94
201101020750,3.76,0.47,50.05
201101020800,3.74,0.4,44.07
201101020810,3.4,0.39,47.35
201101020820,2.66,0.48,42.57
201101020830,1.45,0.56,51.8
201101020840,1.17,0.39,70.73
201101020850,1.46,0.52,28
201101020900,1.56,0.65,116.13
201101020910,1.77,0.4,160.53
201101020920,1.67,0.69,251.13
201101020930,2.31,0.48,275.83
201101020940,1.86,0.63,274.73
201101020950,3,0.98,230.83
201101021000,4.12,0.76,240.93
201101021010,4.15,0.94,244.43
201101021020,3.64,0.7,259.13
201101021030,3.23,1.07,269.03
201101021040,3.44,0.92,253.43
201101021050,2.96,1.06,244.83
201101021100,3.69,0.87,251.03
201101021110,5.09,0.78,226.63
201101021120,4.69,1.09,234.73
201101021130,4.71,1.3,242.63
201101021140,6.65,1.32,236.73
201101021150,6.87,0.93,241.53
201101021200,7.12,1.08,225.83
201101021210,6.01,0.93,234.43
201101021220,6.17,1.03,234.53
201101021230,5.48,0.71,245.83
201101021240,5.59,1.07,244.43
201101021250,5.16,1.02,243.53
201101021300,5.76,1.01,242.13
201101021310,6.12,1.36,233.73
201101021320,5.13,0.79,232.63
201101021330,6.17,0.84,221.73
201101021340,5.72,0.89,214.63
201101021350,5.34,1.21,230.73
201101021400,5.83,1.06,216.43
201101021410,6.47,0.83,218.03
201101021420,8.13,0.97,225.13
201101021430,6.99,0.92,212.03
201101021440,6.7,0.95,212.13
201101021450,7.12,1.08,219.33
201101021500,8.47,0.98,226.13
201101021510,8.95,1.01,221.13
201101021520,8.07,0.84,212.93
201101021530,8.13,1.06,214.43
201101021540,9.68,1.15,218.33
201101021550,9.59,0.97,213.73
201101021600,9.03,0.92,212.83
201101021610,8.24,0.96,209.33
201101021620,7.92,0.95,208.13
201101021630,8.27,1.14,206.23
201101021640,8.55,1.18,207.33
201101021650,9.28,1.24,201.73
201101021700,9.62,0.86,192.63
201101021710,9.17,0.65,198.43
201101021720,9.13,0.92,194.33
201101021730,9.33,1.12,194.83
201101021740,9.8,1.16,196.13
201101021750,9.44,0.84,184.23
201101021800,9.3,1.1,194.03
201101021810,9.09,0.86,193.33
201101021820,9.28,0.75,193.43
201101021830,9.22,0.82,193.13
201101021840,9.32,0.77,191.73
201101021850,8.55,0.83,192.03
201101021900,8.23,0.77,188.83
201101021910,8.3,0.62,188.83
201101021920,7.99,0.55,182.63
201101021930,8.45,0.64,187.63
201101021940,8.58,0.77,187.43
201101021950,9.31,0.76,188.53
201101022000,10.13,0.75,190.53
201101022010,10.18,0.81,183.13
201101022020,10.38,0.53,177.43
201101022030,9.03,1,177.93
201101022040,9.63,0.71,175.33
201101022050,8.08,1,172.93
201101022100,8.06,0.62,173.93
201101022110,8.78,0.76,170.03
201101022120,8.4,0.73,171.03
201101022130,8.24,0.58,170.03
201101022140,8.15,0.47,167.03
201101022150,7.23,0.62,163.43
201101022200,6.61,0.51,165.53
201101022210,6.84,0.36,169.53
201101022220,6.94,0.39,169.53
201101022230,6.99,0.45,170.83
201101022240,7.25,0.42,170.43
201101022250,6.63,0.41,174.53
201101022300,7.44,0.87,178.03
201101022310,7.72,0.68,177.83
201101022320,7.16,1.06,173.63
201101022330,5.19,0.54,158.43
201101022340,5.98,0.79,154.43
201101022350,5.16,0.43,150.23
201101030000,5.63,0.61,155.63
201101030010,5.96,0.78,159.63
201101030020,5.5,0.68,168.23
201101030030,6.41,0.38,181.03
201101030040,6.58,0.33,189.83
201101030050,6.78,0.39,188.63
201101030100,6.91,0.19,184.73
201101030110,7.3,0.24,186.03
201101030120,6.33,0.41,182.93
201101030130,5.77,0.4,179.33
201101030140,4.57,1.01,164.93
201101030150,3.34,0.49,138.93
201101030200,4.61,0.69,161.43
201101030210,4.87,0.51,168.53
201101030220,4.65,0.74,165.73
201101030230,3.89,0.4,154.83
201101030240,3.75,0.51,147.73
201101030250,4.01,0.41,131.23
201101030300,3.6,0.28,138.03
201101030310,3.36,0.44,146.43
201101030320,3.97,0.5,155.93
201101030330,4.05,0.5,158.93
201101030340,4.46,0.85,161.73
201101030350,4.2,0.49,157.73
201101030400,4.19,0.51,148.03
201101030410,3.78,0.52,139.53
201101030420,3.89,0.39,135.93
201101030430,3.07,0.43,147.03
201101030440,2.59,0.46,149.43
201101030450,3.41,0.47,159.73
201101030500,3.41,0.58,150.73
201101030510,3.34,0.58,163.83
201101030520,3.1,0.39,158.43
201101030530,2.82,0.39,149.03
201101030540,2.52,0.26,154.13
201101030550,2.23,0.31,140.23
201101030600,2.53,0.42,116.13
201101030610,1.9,0.49,90.43
201101030620,1.72,0.53,115.73
201101030630,2.15,0.25,96.43
201101030640,1.72,0.46,109.63
201101030650,1.44,0.25,126.93
201101030700,1.88,0.31,90.43
201101030710,1.36,0.34,94.43
201101030720,0.79,0.31,93.83
201101030730,1.12,0.47,190.13
201101030740,2.36,0.54,176.53
201101030750,1.88,0.46,152.53
201101030800,2,0.54,171.53
201101030810,2.23,0.77,173.13
201101030820,2.48,0.66,154.93
201101030830,2.56,0.63,170.43
201101030840,2.78,0.8,170.53
201101030850,3.17,0.56,166.23
201101030900,3.03,0.65,167.13
201101030910,2.32,0.68,185.93
201101030920,2.63,0.6,192.43
201101030930,2.21,0.49,175.13
201101030940,2.27,0.78,166.23
201101030950,2.31,0.69,201.23
201101031000,1.98,0.75,263.03
201101031010,1.74,0.57,224.73
201101031020,2.49,0.9,230.63
201101031030,3.11,0.82,201.63
201101031040,3.99,0.84,226.13
201101031050,3.65,0.95,242.43
201101031100,3.83,0.81,216.23
201101031110,3.83,0.66,224.43
201101031120,5.47,0.9,226.03
201101031130,5.78,1.1,239.93
201101031140,6.44,1.02,234.53
201101031150,6.27,0.75,218.03
201101031200,7.51,0.91,219.43
201101031210,8.42,0.77,217.43
201101031220,9.15,0.82,212.83
201101031230,9.64,0.71,208.03
201101031240,9.16,0.87,205.93
201101031250,9.01,0.99,206.93
201101031300,8.41,0.82,205.03
201101031310,8.46,0.91,209.23
201101031320,8.58,0.76,207.33
201101031330,8.41,0.73,206.53
201101031340,8.38,0.68,205.63
201101031350,9.05,0.7,206.03
201101031400,8.91,0.99,207.93
201101031410,9.68,0.82,206.73
201101031420,9.75,0.68,204.93
201101031430,9.36,0.86,204.23
201101031440,9.22,1.14,200.63
201101031450,9.73,0.88,200.53
201101031500,9.26,1.14,198.13
201101031510,8.6,1.08,203.93
201101031520,8.51,0.95,203.23
201101031530,8.32,1.07,201.53
201101031540,8.32,1.05,195.73
201101031550,9.2,1.19,200.93
201101031600,9.32,1,195.23
201101031610,9.58,0.8,195.73
201101031620,8.66,0.74,196.33
201101031630,9.38,0.7,195.33
201101031640,9.04,0.78,192.73
201101031650,9.54,0.85,191.53
201101031700,9.39,1,192.13
201101031710,9.9,0.86,186.13
201101031720,10.64,0.97,181.53
201101031730,10.99,0.81,179.63
201101031740,9.38,1.09,182.73
201101031750,9.35,0.84,178.93
201101031800,7.52,1.34,180.83
201101031810,6.29,0.99,181.63
201101031820,7.27,0.75,181.23
201101031830,7.13,1.48,184.43
201101031840,5.29,0.72,192.53
201101031850,5.17,1,183.73
201101031900,5.94,0.99,189.83
201101031910,5.79,1.14,195.93
201101031920,5.79,0.7,211.93
201101031930,5.82,0.77,220.53
201101031940,6.98,0.49,213.03
201101031950,7.77,0.56,208.93
201101032000,7.1,0.96,223.33
201101032010,5.79,0.72,234.53
201101032020,6.27,0.59,234.23
201101032030,6.75,0.64,228.03
201101032040,8.12,0.52,219.13
201101032050,6.44,1.1,224.23
201101032100,5.08,0.58,234.73
201101032110,5.26,0.47,235.83
201101032120,5.03,0.52,236.83
201101032130,5.92,0.49,232.03
201101032140,6.59,0.42,233.33
201101032150,5.2,0.56,243.83
201101032200,4.72,0.61,238.03
201101032210,5.25,0.5,238.93
201101032220,4.82,0.67,251.93
201101032230,4.3,0.44,249.33
201101032240,4.19,0.5,259.63
201101032250,2.69,0.34,281.03
201101032300,2.7,0.35,281.13
201101032310,3.91,0.43,260.03
201101032320,4.64,0.39,260.43
201101032330,4.97,0.42,256.33
201101032340,3.51,0.39,271.93
201101032350,4,0.3,270.93
201101040000,4.4,0.5,267.83
201101040010,3.82,0.53,267.53
201101040020,3.68,0.39,268.53
201101040030,3.79,0.37,264.83
201101040040,3.56,0.45,264.83
201101040050,4.13,0.4,260.93
201101040100,3.49,0.34,263.93
201101040110,3.3,0.37,257.53
201101040120,2.96,0.28,253.53
201101040130,2.9,0.34,254.73
201101040140,3.02,0.35,250.03
201101040150,3.63,0.33,250.63
201101040200,3.6,0.43,270.83
201101040210,2.94,0.4,271.93
201101040220,2.54,0.36,274.33
201101040230,2.16,0.26,284.73
201101040240,1.84,0.41,282.13
201101040250,1.51,0.27,288.53
201101040300,1.49,0.23,293.63
201101040310,1.39,0.21,298.43
201101040320,1.36,0.35,297.33
201101040330,1.73,0.24,280.53
201101040340,1.7,0.26,276.43
201101040350,1.55,0.23,324.63
201101040400,1.74,0.24,333.13
201101040410,1.84,0.34,327.63
201101040420,2.11,0.32,336.33
201101040430,2.29,0.29,340.82
201101040440,2.37,0.35,314.03
201101040450,1.68,0.23,300.43
201101040500,1.63,0.2,300.43
201101040510,2.08,0.18,292.33
201101040520,1.92,0.16,300.53
201101040530,2.22,0.17,300.53
201101040540,2.42,0.19,292.53
201101040550,2.2,0.34,287.23
201101040600,2.08,0.19,284.03
201101040610,1.98,0.16,286.13
201101040620,2.15,0.17,283.03
201101040630,2.21,0.18,281.63
201101040640,1.74,0.19,282.03
201101040650,1.42,0.21,282.03
201101040700,1.1,0.29,282.73
201101040710,1.02,0.25,312.63
201101040720,1.28,0.45,339.73
201101040730,1.17,0.27,323.93
201101040740,0.92,0.36,333.93
201101040750,1.06,0.54,338.53
201101040800,1.74,0.38,311.13
201101040810,1.53,0.51,296.73
201101040820,1.44,0.36,291.43
201101040830,1.45,0.45,257.43
201101040840,1.31,0.44,243.83
201101040850,1.72,0.4,241.13
201101040900,1.5,0.37,234.23
201101040910,1.75,0.44,251.73
201101040920,1.36,0.51,278.93
201101040930,1.83,0.51,266.83
201101040940,2.01,0.59,272.13
201101040950,2.42,0.59,270.63
201101041000,2.18,0.57,258.93
201101041010,2.36,0.73,240.23
201101041020,2.98,0.57,272.43
201101041030,3.23,0.73,256.43
201101041040,3.45,0.84,262.43
201101041050,4.35,0.74,278.93
201101041100,4.55,0.77,273.13
201101041110,4.54,0.65,272.23
201101041120,4.82,0.82,271.53
201101041130,5.58,0.88,261.83
201101041140,6.08,0.78,261.43
201101041150,6.57,0.77,250.33
201101041200,7.32,0.82,247.03
201101041210,7.48,0.86,247.73
201101041220,7.78,0.77,245.93
201101041230,7.58,0.83,251.43
201101041240,7.4,0.74,247.23
201101041250,7.93,0.66,244.53
201101041300,7.92,0.88,248.23
201101041310,8.02,0.83,242.83
201101041320,7.95,0.75,242.23
201101041330,8.23,0.83,244.53
201101041340,7.99,0.89,248.43
201101041350,8.02,0.87,249.83
201101041400,8.23,0.9,250.13
201101041410,7.75,0.93,249.93
201101041420,7.81,0.89,247.43
201101041430,8,0.91,245.03
201101041440,8.06,0.88,248.43
201101041450,7.72,0.7,243.53
201101041500,7.14,0.81,243.23
201101041510,7.35,0.69,239.43
201101041520,7.12,1,242.83
201101041530,7.07,0.78,240.63
201101041540,6.72,0.8,242.73
201101041550,6.29,0.94,247.53
201101041600,5.77,0.8,235.03
201101041610,5.81,0.78,237.33
201101041620,5.92,0.97,239.73
201101041630,6.22,0.76,234.93
201101041640,6.06,0.68,236.23
201101041650,5.92,0.93,231.33
201101041700,6.26,0.65,246.73
201101041710,5.66,0.78,233.23
201101041720,5.95,0.8,238.13
201101041730,5.4,0.78,226.43
201101041740,4.94,0.87,226.43
201101041750,5.24,0.71,239.43
201101041800,5.12,0.58,225.73
201101041810,4.79,0.69,229.53
201101041820,4.73,0.54,224.83
201101041830,3.82,0.43,226.93
201101041840,3.57,0.72,237.83
201101041850,3.47,0.51,254.13
201101041900,3.55,0.62,269.63
201101041910,3.56,0.38,266.53
201101041920,2.73,0.62,263.33
201101041930,1.57,0.32,284.83
201101041940,1.89,0.49,259.03
201101041950,2.17,0.32,280.23
201101042000,2.81,0.44,288.43
201101042010,3.41,0.29,285.43
201101042020,3.97,0.41,287.53
201101042030,4.42,0.43,278.13
201101042040,2.97,0.8,266.73
201101042050,2.64,0.4,274.73
201101042100,2.81,0.35,281.63
201101042110,3.11,0.61,280.83
201101042120,2.71,0.33,256.23
201101042130,3.07,0.4,263.63
201101042140,3.88,0.4,248.43
201101042150,3.83,0.46,248.23
201101042200,3.62,0.43,249.83
201101042210,3.78,0.51,263.13
201101042220,3.17,0.33,248.33
201101042230,2.94,0.37,248.33
201101042240,2.72,0.58,232.13
201101042250,2.36,0.35,224.83
201101042300,3.17,0.23,239.53
201101042310,2.47,0.74,240.93
201101042320,2.27,0.29,230.13
201101042330,2.47,0.47,251.53
201101042340,2.88,0.46,268.93
201101042350,2.74,0.35,265.23
201101050000,2.57,0.43,242.03
201101050010,2.61,0.43,227.73
201101050020,3.56,0.28,234.03
201101050030,4.17,0.35,238.33
201101050040,5,0.53,243.43
201101050050,5.22,0.49,250.73
201101050100,4.89,0.76,250.83
201101050110,3.96,0.39,237.43
201101050120,3.98,0.54,221.83
201101050130,4.11,0.33,210.63
201101050140,3.41,0.52,201.53
201101050150,3.08,0.38,227.13
201101050200,2.91,0.4,234.73
201101050210,3,0.38,224.43
201101050220,2.41,0.43,186.13
201101050230,1.91,0.54,174.63
201101050240,0.98,0.24,189.63
201101050250,0.85,0.19,198.93
201101050300,0.73,0.39,198.33
201101050310,1.05,0.28,197.73
201101050320,0.91,0.41,212.33
201101050330,1.4,0.29,271.93
201101050340,1.73,0.26,264.43
201101050350,1.96,0.32,256.23
201101050400,2.43,0.27,259.23
201101050410,2.03,0.3,242.83
201101050420,1.74,0.31,235.73
201101050430,1.83,0.21,248.33
201101050440,1.71,0.38,267.73
201101050450,1.37,0.18,238.23
201101050500,1.65,0.27,218.73
